tier,category,subcategory,product,quantity,unit_price,total_price,trx_id,date
premium,snacks,chips,potato_chips_150g,1,16000,16000,27,2026-01-13
premium,snacks,chips,potato_chips_150g,1,15900,15900,27,2026-01-13
premium,beverages,soda,cola_500mL,1,24700,24700,28,2026-01-13
premium,snacks,chips,potato_chips_150g,1,18500,18500,28,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4200,4200,28,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4000,4000,28,2026-01-13
premium,snacks,chips,potato_chips_150g,1,16100,16100,28,2026-01-13
premium,fruits,berries,strawberries,2,5100,10200,28,2026-01-13
premium,fruits,berries,strawberries,1,4400,4400,28,2026-01-13
budget,fruits,berries,blueberries,2,5300,10600,29,2026-01-13
standard,snacks,chips,potato_chips_150g,2,16300,32600,30,2026-01-13
standard,snacks,chips,potato_chips_150g,1,16100,16100,30,2026-01-13
standard,beverages,water,mineral_water_600mL,4,4500,18000,30,2026-01-13
standard,fruits,berries,blueberries,1,5200,5200,30,2026-01-13
premium,snacks,chips,potato_chips_150g,2,16400,32800,31,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4600,4600,31,2026-01-13
premium,fruits,berries,strawberries,1,4500,4500,31,2026-01-13
premium,snacks,chips,potato_chips_150g,1,17300,17300,31,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4100,4100,31,2026-01-13
premium,snacks,chips,potato_chips_150g,1,17800,17800,31,2026-01-13
standard,snacks,chips,potato_chips_150g,1,16500,16500,32,2026-01-13
standard,vegetables,leafy_greens,spinach,1,4500,4500,32,2026-01-13
standard,beverages,water,mineral_water_600mL,1,3900,3900,32,2026-01-13
standard,snacks,chips,potato_chips_150g,1,14800,14800,32,2026-01-13
standard,snacks,chips,potato_chips_150g,2,14900,29800,32,2026-01-13
budget,vegetables,leafy_greens,spinach,1,3900,3900,33,2026-01-13
budget,beverages,water,mineral_water_600mL,1,3900,3900,33,2026-01-13
budget,vegetables,leafy_greens,spinach,1,3700,3700,33,2026-01-13
standard,snacks,chips,potato_chips_150g,2,18200,36400,34,2026-01-13
standard,vegetables,leafy_greens,kale,1,4800,4800,34,2026-01-13
budget,beverages,soda,cola_500mL,1,20400,20400,35,2026-01-13
